"Product ID","Category","Description","Brand","Price","Color","Size","Material"
"101","T-shirt","Graphic Print T-shirt","XYZ","$27","Red","M","Cotton"
"102","Jeans","Skinny Fit Jeans","ABC","$45","Black","34*32","Denim"
"103","Scarf","Wool Blend Winter Scarf","LMN","$20","Grey","One","Wool"
"104","Shirt","Plaid Button-up Shirt","DEF","$35","Green","L","Cotton"
"105","Dress","Maxi Floral Print Dress","GHI","$60","Blue","XL","Polyester"
"106","Sneakers","High Top Canvas Sneakers","JK","$50","White","US 10","Canvas"
"107","Shorts","Denim Cargo Shorts","MNO","$40","Blue","36","Denim"
"108","Hoodie","Pullover Hoodie","PQR","$55","Navy","L","Fleece"
"109","Hat","Beanie Hat","STU","$15","Grey","One","Acrylic"
"110","Running Shoes","Lightweight Running Shoes","VWX","$80","Blue","US 9.5","Mesh"
"111","T-shirt","Vintage Graphic Tee","YZA","$30","Grey","XL","Cotton"
"112","Ripped Jeans","Acid Wash Ripped Jeans","BCD","$50","Black","32*34","Denim"
"113","Boots","Suede Chelsea Boots","EFG","$110","Brown","US 9","Suede"
"114","Leather Jacket","Moto Leather Jacket","HIJ","$150","Brown","XL","Leather"
"115","Bucket Hat","Reversible Bucket Hat","KLM","$25","Black","One Size","Cotton"
"116","Sunglasses","Wayfarer Sunglasses","NOP","$30","Tortoise","One Size","Plastic"
"117","Wrap Dress","Floral Wrap Maxi Dress","QRS","$65","Pink","M","Polyester"
"118","Blouse","Silk Ruffle Blouse","TUV","$45","Ivory","S","Silk"
"119","Cardigan","Cable Knit Cardigan","WXY","$35","Beige","XL","Wool"
"120","Leggings","High-Waisted Leggings","ZAB","$20","Black","M","Spandex"
"121","T-shirt","Pocket Tee","XYZ","$22","Green","L","Cotton"
"122","Jeans","Distressed Skinny Jeans","ABC","$50","Light","30*32","Denim"
"123","Scarf","Plaid Blanket Scarf","LMN","$18","Red","One","Acrylic"
"124","Shirt","Oxford Button-down Shirt","DEF","$40","White","M","Cotton"
"125","Dress","Midi Slip Dress","GHI","$55","Black","S","Silk"
"126","Sneakers","Slip-on Sneakers","JK","$45","Grey","US 8.5","Canvas"
"127","Shorts","Athletic Shorts","MNO","$30","Navy","34","Polyester"
"128","Hoodie","Zip-Up Hoodie","PQR","$60","CharcoalXL","","Fleece"
"129","Hat","Fedora Hat","STU","$25","Brown","One","Wool"
"130","Running Shoes","Trail Running Shoes","VWX","$90","Green","US 11","Mesh"
"131","T-shirt","Striped Pocket Tee","YZA","$28","Navy","XL","Cotton"
"132","Ripped Jeans","Frayed Hem Ripped Jeans","BCD","$55","Light","32*34","Denim"
"133","Boots","Lace-up Combat Boots","EFG","$120","Black","US 10","Leather"
"134","Leather Jacket","Bomber Leather Jacket","HIJ","$170","Black","L","Leather"
"135","Bucket Hat","Fisherman's Hat","KLM","$20","Khaki","One Size","Cotton"
"136","Sunglasses","Aviator Sunglasses","NOP","$35","Silver","One Size","Metal"
"137","Wrap Dress","Jersey Wrap Dress","QRS","$60","Black","L","Polyester"
"138","Blouse","Lace Peplum Blouse","TUV","$50","Black","M","Polyester"
"139","Cardigan","Open Front Cardigan","WXY","$30","Navy","M","Acrylic"
"140","Leggings","Printed Leggings","ZAB","$25","Purple","S","Spandex"
"141","T-shirt","V-neck Tee","XYZ","$25","White","M","Cotton"
"142","Jeans","Bootcut Jeans","ABC","$55","Blue","32*34","Denim"
"143","Scarf","Cashmere Scarf","LMN","$50","Navy","One","Cashmere"
"144","Shirt","Flannel Shirt","DEF","$45","Red","L","Cotton"
"145","Dress","Wrap Midi Dress","GHI","$70","Navy","M","Polyester"
"146","Sneakers","Classic Low Top Sneakers","JK","$40","Black","US 9","Canvas"
"147","Shorts","Chino Shorts","MNO","$35","Khaki","32","Cotton"
"148","Hoodie","Graphic Hoodie","PQR","$50","Blue","XL","Fleece"
"149","Hat","Bucket Hat","STU","$20","White","One","Cotton"
"150","Running Shoes","Road Running Shoes","VWX","$100","Grey","US 10","Mesh"
"151","T-shirt","Henley Tee","YZA","$30","Black","L","Cotton"
"152","Ripped Jeans","Destroyed Skinny Jeans","BCD","$60","Medium","32*34","Denim"
"153","Boots","Suede Desert Boots","EFG","$100","Taupe","US 11","Suede"
"154","Leather Jacket","Faux Leather Moto Jacket","HIJ","$80","Black","M","Faux Leather"
"155","Bucket Hat","Logo Bucket Hat","KLM","$30","Blue","One Size","Cotton"
"156","Sunglasses","Round Sunglasses","NOP","$25","Black","One Size","Plastic"
"157","Wrap Dress","Tie Front Wrap Dress","QRS","$70","Red","L","Polyester"
"158","Blouse","Off-the-Shoulder Blouse","TUV","$55","White","S","Polyester"
"159","Cardigan","Hooded Cardigan","WXY","$40","Grey","L","Acrylic"
"160","Leggings","Seamless Leggings","ZAB","$30","Black","L","Spandex"
"161","T-shirt","Crewneck Tee","XYZ","$20","Navy","XL","Cotton"
"162","Jeans","Straight Leg Jeans","ABC","$60","Dark","34*32","Denim"
"163","Scarf","Striped Scarf","LMN","$15","Blue","One","Acrylic"
"164","Shirt","Chambray Shirt","DEF","$50","Light","M","Cotton"
"165","Dress","Off-the-Shoulder Maxi Dress","GHI","$80","Burgundy","S","Polyester"
"166","Sneakers","Platform Sneakers","JK","$60","White","US 8.5","Leather"
"167","Shorts","Cargo Shorts","MNO","$45","Olive","36","Cotton"
"168","Hoodie","Fleece Hoodie","PQR","$45","Black","M","Fleece"
"169","Hat","Straw Hat","STU","$30","Natural","One","Straw"
"170","Running Shoes","Track Spikes","VWX","$120","Red","US 10.5","Synthetic"
"171","T-shirt","Scoop Neck Tee","YZA","$18","White","S","Cotton"
